Word,Freq
placeholder,0
launch,69576
space,54156
elonmusk,16225
tomorrow,484
first,15439
astronauts,22970
2,6948
historic,7175
name,19
launchamerica,1366
may,2104
go,14560
world,140
please,219
luck,9324
watch,14631
american,2722
crew,14475
dragon,12089
science,151
people,2582
country,19
station,14327
best,3527
demo,747
like,8865
america,1915
27,198
2020,1323
see,10074
time,12236
equivalent,4
take,2246
never,65
team,60
got,793
doug,17597
amazing,545
use,30
much,70
great,2595
wait,1764
live,15016
human,922
excited,8961
online,39
3,1809
pm,152
make,1551
want,376
soil,1127
spacecraft,423
falcon,1261
9,4249
elon,4016
orbit,235
rocket,8707
day,8926
back,3235
gift,3
new,3260
flight,6673
via,4951
work,96
musk,1636
need,351
one,6849
test,77
manned,376
good,12432
better,1578
jimbridenstine,165
lt,4
gt,128
going,4689
way,469
love,1864
engineer,9
also,157
happy,5
launching,675
real,33
maybe,14
ready,2020
companies,5
private,228
mission,7511
york,28
corporate,5
4,3495
director,11
history,7591
today,23712
looking,1057
forward,602
since,1673
moon,984
earth,1128
saturns,538
rings,565
rt,213
making,3206
final,30
preparations,5
sending,31
years,1076
x,6941
watching,13727
spaceflight,587
astronomy,36
iss,2476
friends,19
rockets,42
international,510
kennedy,140
planet,33
even,148
wednesday,323
27th,5
would,3031
astro,12380
us,6747
party,10
right,2089
president,102
let,2128
look,1818
sir,4
say,250
tv,390
wrong,17
bolsonaro2022,3
think,388
lady,12
big,486
already,5
know,2039
alien,2
aliens,8
ufo,17
government,11
remember,7
shuttle,876
im,7
r,10
totally,3
really,712
another,246
incentive,3
made,155
took,5
neiltyson,38
everything,20
guinea,3
pig,3
ahead,14
still,679
05,8
equities,4
achieve,7
low,7
went,8
florida,1581
wallpaper,5
spacelaunchlive,5230
usa,82
safely,5
last,273
astrobehnken,10524
landing,9
weather,14326
beautiful,9
investors,2
eye,6
recovery,2
1tn,2
borrowing,2
damn,265
ever,46
crewed,1704
head,5
na,129
ok,4
kids,25
night,40
care,7
definitely,4
godspeed,2914
covid,11
19,14
advanced,26
dependent,2
tesla,917
buy,14
mask,12
shirt,12
joerogan,12
get,6223
engineering,5
movie,61
toouufii,22
owned,2
said,41
life,33
jake,2
become,2
wish,98
bigpony8,2
4possumsinacoat,2
realchefjared,2
futuramaking,2
jsfarrow69,2
revprez,2
single,5
thanks,71
times,41
humans,146
discovery,373
commercial,2637
two,573
vincent13031925,3
youtube,2978
nyt,25
bermuda,2
u,1023
nasakennedy,2087
speed,548
mars,190
coming,3
understand,5
coaching,3
theta,12
man,59
money,49
almost,24
est,8
theme,3
sure,10
god,2874
poop,6
bags,3
fly,67
safe,3149
network,28
someone,9
coin,2
quite,2
done,16
shit,29
believe,34
apollo,86
others,3
free,12
twitter,36
wow,10
minus,41
1,889
exciting,2780
anyone,25
little,27
kid,5
set,642
center,106
ratio,2
worked,4
oh,126
missions,11
fake,14
suit,162
sean,7
koch,5
pt,2
33p,2
stuff,11
autofollower,2
literally,2
era,105
hope,1923
thank,258
bad,1823
threatens,6
booster,11
every,120
sidmamtany,2
joke,4
continue,2
wonder,8
breakingnews,2
fact,7
dont,6
homicide,2
conversation,2
high,14
something,52
billion,11
small,6
hate,4
check,164
cool,1188
parallel,15
happen,11
company,153
10,144
miles,3
mean,9
15,35
spread,2
16,5
00,10
means,6
could,304
working,26
dumb,5
moment,236
tonight,952
engineers,3
mike,6
controllers,3
looks,171
33,1411
makes,32
channel,12
modern,9
anything,6
actually,16
china,42
pretty,9
successful,18
things,92
1st,137
2011,281
hopefully,20
put,8
co,6
ago,17
picture,48
event,21
written,2
crewdragon,2290
barring,2
song,7
stan,4
bias,4
jupiter,18
lexfridman,2
start,24
success,5
miss,29
month,3
following,3
saturn,20
launchpad,2
passing,15
overhead,2
26,2
seconds,8
lost,2
closer,4
full,11
either,4
air,92
bubbles,2
stop,17
send,22
soon,8
universe,39
mine,2
thing,43
reason,2
apod,2
dots,2
three,4
sun,12
temporarily,2
blocked,2
body,4
robotic,2
cassini,2
goes,53
top,40
trip,3
boss,5
ai,2
entire,2
thinking,2
feel,12
awesome,67
image,25
trump,2587
asu,4
blender,4
always,37
many,186
bobby,16
ad,3
anderson,11
wan,9
hard,5
ray,12
person,4
maven,2
travel,204
next,2454
well,1279
news,450
pandemic,44
coverage,683
systems,2
without,34
minute,2
fucktrump,5
sleep,13
eat,4
feed,4
whole,17
explore,2
young,2
anywhere,6
future,614
cnet,3
esa,52
amazon,3
probably,8
fucking,4
tweet,16
truth,4
death,2
joe,2
scarborough,2
cape,87
canaveral,59
worth,2
quiz,2
search,3
ey,3
hey,9
mhz,3
aerospace,3
expectations,2
kayleigh,2
mcenany,2
stars,4
despite,2
holy,4
hours,499
nbc,2
radio,4
change,25
muslim,2
tsla,2
project,2
blue,2
given,4
30,800
p,189
n,24
age,156
tape,4
0,9
word,3
used,15
greek,3
hello,2
mi,6
away,19
johnson,24
issabove,2
e,13
measure,2
measuring,2
wanted,5
entrepreneur,2
perseverance,6
rover,2
left,7
stem,4
int,4
5,84
nice,23
wfirst,2
telescope,8
woman,4
old,51
greater,2
far,5
line,2
encounter,2
vincentcrypt46,2
deepstate,2
keeping,2
learning,2
platform,2
thought,11
kitchen,2
putchar,2
mixes,2
nostalgia,2
glitz,2
internationalspacestation,4
dm,10
exploration,70
dangerous,2
guess,2
waiting,97
power,4
17,2
declare,2
till,4
mighty,2
workers,11
briefing,15
important,7
job,5
farming,3
russia,9
hong,2
kong,2
protests,2
reality,2
called,50
super,3
edt,137
utc,11
story,16
together,16
return,33
nearly,33
decade,127
teams,7
step,17
app,26
open,8
2022,2
hotel,8
aboard,22
boris,4
brilliant,2
article,2
needs,14
none,2
gon,24
personal,2
preferences,2
else,11
yes,307
guy,4
dm2,2
find,22
trying,5
long,36
expect,7
dead,40
fire,7
forest,9
data,5
point,2
sovyet,2
white,78
asked,2
12,64
eastern,5
sa,5
000,19
around,71
dock,4
lying,5
webcast,2
360wisemedia,2
ng,5
business,8
cares,3
program,36
give,9
read,36
stream,251
nobody,2
site,6
sends,8
buzzscience07,4
latin,3
jack,8
seriously,3
building,5
giant,5
spaceship,5
starship,3
happening,10
post,5
testament,2
vulgate,2
roommate,3
cbsn,2
decades,2
balance,2
released,2
5pts,2
10pts,2
heard,2
25pts,2
seen,270
pic,2
funding,8
iphone,3
shuttles,5
proud,267
bob,5464
teacher,2
brother,2
wilson,2
nature,6
realdonaldtrump,2884
stupid,4
perfect,7
22,548
join,18
behind,6
quality,3
hyped,7
indian,6
fan,9
media,11
tech,42
problems,2
lang,4
namin,2
gay,3
jr,3
saw,4
due,3333
office,2
solar,12
global,7
guys,352
21,135
book,2
understanding,2
started,16
roots,2
fellow,2
colleagues,2
truly,10
inspirational,4
photo,8
americans,31
tim,7
later,92
information,2
mayemusk,8
kimbal,8
toscamusk,8
28delayslater,6
eliburton,4
anitaing,4
launched,24
fandoms,4
logo,12
animation,10
supporting,2
india,5
loads,2
books,11
beyond,5
allsystemsgo,2
binance,2
support,2
winning,2
keep,47
brought,31
democratic,26
socialists,23
seeing,7
finally,7
balticon,3
living,7
dream,180
light,7
second,11
place,47
door,6
wave,3
boeing,8
emmanuelmacron,2
van,2
gogh,2
technology,25
afternoon,61
pick,2
giveaway,2
frontier,2
help,7
starliner,2
39a,1308
v,2
100,22
planned,2
cloud,4
rule,2
different,4
followergenerator,2
safety,1493
rate,2
costs,5
whitehouse,46
pence,3
cooper,3
reacts,3
falsehoods,3
avatar,2
patrick,2
streaming,2
tell,13
chrisg,2
nsf,2
kinda,2
matter,2
sketch,2
liftoff,85
shear,2
strong,2
bbc,9
nation,2
noon,2
tune,51
come,97
alone,2
black,55
lesson,2
must,8
chief,5
knows,2
events,2
species,2
accelerate,2
humanity,7
evolve,2
faster,2
week,15
arrival,4
begins,11
24,4
covid19,10
mix,3
ist,8
modis,4
satellite,4
06,4
01,4
video,20
view,6
downloaded,3
fully,2
6,99
year,17
voyager,2
et,165
move,2
launches,774
imax,2
register,2
bit,15
close,2
usher,3
enough,4
otherwise,2
prepare,2
venus,4
asteroid,2
belt,2
pulsar,2
flatearth,6
problem,2
try,524
break,2
painting,2
chance,25
nazi,3
sky,86
starlink,6
getting,134
deal,6
army,9
everyone,29
hiring,2
vmware,2
gets,2
dying,4
true,9
plenty,3
uk,676
djt,2
ass,2
starts,2
33pm,231
side,9
11,27
garden,3
complex,1233
kind,6
reply,2
reasons,2
tag,2
lahaat,2
7,31
8,2
lahat,2
ambassador,3
hold,3
makeup,2
women,11
calculations,2
vehicle,17
scheduled,42
journey,11
medical,2
eagerly,2
huge,7
play,10
days,63
hot,7
climate,30
fudge,3
stations,3
pinnacle,2
mankind,8
evolution,2
000s,2
europe,2
gmt,4
cet,2
bright,2
crap,2
date,2
enthusiasm,2
served,2
choc,2
shot,6
tom,69
cruise,65
unleash,3
vision,2
outer,13
lands,2
liman,11
pbs,4
general,7
physics,15
laboratory,7
gpl,7
capsule,136
google,3
de,5
alive,4
la,2
changing,2
newshour,2
newshourview,2
yet,3
houston,3
pack,2
summer,2
transparent,2
socks,2
size,2
price,2
99,2
shipping,2
within,11
obama,5
bush,2
biden,2
mexico,2
btc,2
bitcoin,5
newyork,2
texas,2
kansas,2
ilinois,2
chicago,2
inside,39
photos,13
skies,41
gold,6
past,5
upon,2
staceyr28715306,2
asteroids,3
parts,2
jisung,2
calvin,2
hobbes,2
tomcruise,2
urges,3
home,59
local,3
sheriff,3
police,11
profbriancox,11
bst,24
show,29
30pm,7
neil,2
50,197
jim,3
fantastic,2
codex,2
talk,10
dr,2
green,2
scientist,9
speaking,2
innovators,2
2019,2
wednesdaywisdom,2
wednesdaymorning,2
top50innovators,2
codextalks,2
security,2
readies,4
firm,4
attend,4
birthday,5
shape,3
coalition,2
takes,2
commit,2
nasahubble,4
looked,4
hubble30,2
driver,2
happens,3
certain,2
surviving,2
boys,6
eyes,2
satelite,3
budapest,3
morning,97
plan,6
fred,4
pizza,2
create,2
3d,2
animated,2
intro,2
contact,2
logoanimation,2
madeonfiverr,2
easier,2
lot,6
spot,2
rain,18
hebrew,2
scriptures,2
pray,2
stay,8
mach,2
smart,3
facebook,2
commentary,2
flash,2
able,35
tamil,2
minutes,1893
freaking,2
might,7
yung,3
sake,2
helping,2
ba,2
welcome,2
jeffbezos,2
erdayastronaut,7
kristennetten,4
ur,4
august,2
mother,3
says,15
fascinating,2
saying,2
standards,2
industry,2
scientists,5
credit,2
govt,2
flat,7
non,2
rin,3
regarding,2
planetary,2
funny,4
evening,19
celebrate,3
leroy,4
chiao,4
bubble,10
link,19
hands,4
mesh,3
coronavirus,40
magic,2
kerbalspacep,3
taking,13
knowledge,3
tall,2
20,171
ppathole,2
latest,9
garu,4
follow,19
elonemusk,3
indians,3
kavya,2
kchirutweets,2
megastarchiranjeevi,2
chiruemperoroftfi,2
14,2
urban,3
report,2
ovni,2
ufosightings,2
columbia,2
plans,8
saudi,2
emara,2
pss,2
en,2
log,2
werewolf,3
hell,5
yeah,3
content,4
debut,3
blast,20
wants,2
military,9
stray,3
straight,20
outta,20
cosmos,20
red,3
case,3
africadatasch,40
100daysofmlcode,19
quantum,20
machinelearning,20
promises,20
discover,20
optimal,20
topologies,20
hyperparameters,20
automatically,20
intervention,20
amitray,20
100daysofcode,20
pytorch,13
si,3
machine,13
ml,13
learn,9
nlognbot,6
codernotesbot,3
physorg,3
sweet,3
linamnam,3
covin,2
form,2
galaxy,2
bless,2
ang,5
code,5
bound,2
argument,2
conditions,535
leave,2
budget,3
vital,2
signs,2
warming,2
carrying,13
flying,5
across,11
2130,2
2150,2
including,2
rules,3
son,3
rn,2
timpeake,68
course,6
thinks,2
politics,5
crowd,2
retweet,3
concepts,2
downloader,2
interstellar,10
teaser,10
suits,598
lift,38
falcon9,92
toilet,8
demo2,11
expensive,3
soviet,3
using,6
congratulations,2
mark,40
youre,3
idol,3
visible,25
system,67
hackathon,3
cost,6
oficial,2
account,2
episode,2
rays,2
akin,2
napo,2
countdown,8
excitement,3
wonderful,3
imagine,2
sign,2
lol,3
towards,2
amazonbasics,2
posted,4
camp,4
clear,34
assuming,2
tea,2
administrator,6
geographyteacher,5
pad,505
alex,22
spacexdragon,5881
cnbc,4
lucky,2
2nd,2
emotionaly,2
attached,2
sunburn,3
burnin,3
polsky,3
numbers,3
rnc,3
desantis,3
flapol,3
fall,2
apart,2
force,97
ground,46
per,2
shouty,2
fence,2
chemotherapy,2
session,2
po,2
west,5
seems,5
winne,2
impossible,2
accelerant,2
sale,3
efficiently,2
followed,2
tried,2
difference,2
minneapolis,3
meet,29
onboard,6
kissesdelavin,2
mins,7
666,3
cat,2
abc,2
livestream,6
artemis,4
accords,4
spark,4
alliance,4
veterans,4
foreign,4
affairs,4
policy,4
journal,4
clandestine,4
services,4
breakfastnews,2
fingers,10
crossed,7
enjoy,3
satellites,2
direction,3
pilot,2
firstpost,2
abt,8
playstation,3
kasi,3
development,3
lack,3
version,3
queen,39
robert,7
douglas,12
gap,4
eclipse,3
ring,3
tropical,3
ones,4
items,2
board,23
operation,12
sleepwalk,6
fbi,4
evil,4
pieces,4
triumph,2
arrives,2
wife,2
1999,2
