Time,Number of Tweets,Sentiment
2020-05-27 00:06:25,11,0
2020-05-27 00:06:25,57,2
2020-05-27 00:06:25,12,1
2020-05-27 00:08:28,18,0
2020-05-27 00:08:28,60,2
2020-05-27 00:08:28,16,1
2020-05-27 00:10:28,21,0
2020-05-27 00:10:28,70,2
2020-05-27 00:10:28,10,1
2020-05-27 00:12:29,11,0
2020-05-27 00:12:29,63,2
2020-05-27 00:12:29,9,1
2020-05-27 00:14:32,16,0
2020-05-27 00:14:32,64,2
2020-05-27 00:14:32,16,1
2020-05-27 00:16:34,20,0
2020-05-27 00:16:34,58,2
2020-05-27 00:16:34,13,1
2020-05-27 00:18:35,18,0
2020-05-27 00:18:35,49,2
2020-05-27 00:18:35,11,1
2020-05-27 00:20:35,12,0
2020-05-27 00:20:35,53,2
2020-05-27 00:20:35,13,1
2020-05-27 00:22:36,10,0
2020-05-27 00:22:36,65,2
2020-05-27 00:22:36,16,1
2020-05-27 00:24:37,13,0
2020-05-27 00:24:37,68,2
2020-05-27 00:24:37,12,1
2020-05-27 00:26:38,10,0
2020-05-27 00:26:38,62,2
2020-05-27 00:26:38,9,1
2020-05-27 00:28:39,12,0
2020-05-27 00:28:39,63,2
2020-05-27 00:28:39,14,1
2020-05-27 00:30:42,13,0
2020-05-27 00:30:42,63,2
2020-05-27 00:30:42,12,1
2020-05-27 00:32:43,10,0
2020-05-27 00:32:43,59,2
2020-05-27 00:32:43,12,1
2020-05-27 00:34:46,16,0
2020-05-27 00:34:46,72,2
2020-05-27 00:34:46,13,1
2020-05-27 00:36:46,9,0
2020-05-27 00:36:46,48,2
2020-05-27 00:36:46,14,1
2020-05-27 00:38:47,19,0
2020-05-27 00:38:47,62,2
2020-05-27 00:38:47,12,1
2020-05-27 00:40:48,13,0
2020-05-27 00:40:48,58,2
2020-05-27 00:40:48,13,1
2020-05-27 00:42:52,12,0
2020-05-27 00:42:52,65,2
2020-05-27 00:42:52,15,1
2020-05-27 00:44:56,12,0
2020-05-27 00:44:56,51,2
2020-05-27 00:44:56,13,1
2020-05-27 00:46:57,10,0
2020-05-27 00:46:57,46,2
2020-05-27 00:46:57,15,1
2020-05-27 00:49:00,12,0
2020-05-27 00:49:00,43,2
2020-05-27 00:49:00,10,1
2020-05-27 00:51:06,14,0
2020-05-27 00:51:06,57,2
2020-05-27 00:51:06,8,1
2020-05-27 00:53:06,9,0
2020-05-27 00:53:06,63,2
2020-05-27 00:53:06,11,1
2020-05-27 00:55:08,18,0
2020-05-27 00:55:08,58,2
2020-05-27 00:55:08,10,1
2020-05-27 00:57:12,12,0
2020-05-27 00:57:12,65,2
2020-05-27 00:57:12,8,1
2020-05-27 00:59:14,13,0
2020-05-27 00:59:14,80,2
2020-05-27 00:59:14,7,1
2020-05-27 01:01:14,8,0
2020-05-27 01:01:14,72,2
2020-05-27 01:01:14,7,1
2020-05-27 01:03:16,7,0
2020-05-27 01:03:16,60,2
2020-05-27 01:03:16,3,1
2020-05-27 01:05:18,13,0
2020-05-27 01:05:18,57,2
2020-05-27 01:05:18,11,1
2020-05-27 01:07:19,8,0
2020-05-27 01:07:19,42,2
2020-05-27 01:07:19,9,1
2020-05-27 01:09:21,7,0
2020-05-27 01:09:21,60,2
2020-05-27 01:09:21,15,1
2020-05-27 01:11:28,13,0
2020-05-27 01:11:28,45,2
2020-05-27 01:11:28,11,1
2020-05-27 01:13:30,8,0
2020-05-27 01:13:30,49,2
2020-05-27 01:13:30,9,1
2020-05-27 01:15:31,10,0
2020-05-27 01:15:31,46,2
2020-05-27 01:15:31,15,1
2020-05-27 01:17:32,12,0
2020-05-27 01:17:32,49,2
2020-05-27 01:17:32,11,1
2020-05-27 01:19:34,15,0
2020-05-27 01:19:34,43,2
2020-05-27 01:19:34,11,1
2020-05-27 01:21:34,11,0
2020-05-27 01:21:34,31,2
2020-05-27 01:21:34,9,1
2020-05-27 01:23:34,12,0
2020-05-27 01:23:34,40,2
2020-05-27 01:23:34,6,1
2020-05-27 01:25:38,12,0
2020-05-27 01:25:38,47,2
2020-05-27 01:25:38,5,1
2020-05-27 01:27:44,15,0
2020-05-27 01:27:44,44,2
2020-05-27 01:27:44,10,1
2020-05-27 01:29:46,13,0
2020-05-27 01:29:46,56,2
2020-05-27 01:29:46,7,1
2020-05-27 01:31:47,9,0
2020-05-27 01:31:47,51,2
2020-05-27 01:31:47,13,1
2020-05-27 01:33:49,6,0
2020-05-27 01:33:49,43,2
2020-05-27 01:33:49,8,1
2020-05-27 01:35:51,10,0
2020-05-27 01:35:51,53,2
2020-05-27 01:35:51,8,1
2020-05-27 01:37:51,12,0
2020-05-27 01:37:51,43,2
2020-05-27 01:37:51,8,1
2020-05-27 01:39:54,13,0
2020-05-27 01:39:54,43,2
2020-05-27 01:39:54,15,1
2020-05-27 01:41:55,6,0
2020-05-27 01:41:55,48,2
2020-05-27 01:41:55,2,1
2020-05-27 01:43:55,16,0
2020-05-27 01:43:55,54,2
2020-05-27 01:43:55,7,1
2020-05-27 01:45:55,8,0
2020-05-27 01:45:55,42,2
2020-05-27 01:45:55,14,1
2020-05-27 01:47:56,8,0
2020-05-27 01:47:56,35,2
2020-05-27 01:47:56,7,1
2020-05-27 01:49:58,11,0
2020-05-27 01:49:58,35,2
2020-05-27 01:49:58,7,1
2020-05-27 01:52:02,10,0
2020-05-27 01:52:02,32,2
2020-05-27 01:52:02,9,1
2020-05-27 01:54:07,7,0
2020-05-27 01:54:07,35,2
2020-05-27 01:54:07,13,1
2020-05-27 01:56:21,6,0
2020-05-27 01:56:21,29,2
2020-05-27 01:56:21,13,1
2020-05-27 01:58:24,11,0
2020-05-27 01:58:24,42,2
2020-05-27 01:58:24,6,1
2020-05-27 02:00:28,11,0
2020-05-27 02:00:28,46,2
2020-05-27 02:00:28,19,1
2020-05-27 02:02:28,9,0
2020-05-27 02:02:28,33,2
2020-05-27 02:02:28,8,1
2020-05-27 02:04:29,8,0
2020-05-27 02:04:29,38,2
2020-05-27 02:04:29,9,1
2020-05-27 02:06:30,4,0
2020-05-27 02:06:30,35,2
2020-05-27 02:06:30,11,1
2020-05-27 02:08:30,8,0
2020-05-27 02:08:30,38,2
2020-05-27 02:08:30,5,1
2020-05-27 02:10:34,12,0
2020-05-27 02:10:34,37,2
2020-05-27 02:10:34,9,1
2020-05-27 02:12:35,5,0
2020-05-27 02:12:35,40,2
2020-05-27 02:12:35,5,1
2020-05-27 02:14:45,8,0
2020-05-27 02:14:45,39,2
2020-05-27 02:14:45,13,1
2020-05-27 02:16:45,5,0
2020-05-27 02:16:45,43,2
2020-05-27 02:16:45,9,1
2020-05-27 02:18:46,13,0
2020-05-27 02:18:46,36,2
2020-05-27 02:18:46,9,1
2020-05-27 02:20:47,8,0
2020-05-27 02:20:47,45,2
2020-05-27 02:20:47,16,1
2020-05-27 02:22:48,11,0
2020-05-27 02:22:48,32,2
2020-05-27 02:22:48,13,1
2020-05-27 02:24:51,7,0
2020-05-27 02:24:51,44,2
2020-05-27 02:24:51,11,1
2020-05-27 02:26:52,13,0
2020-05-27 02:26:52,37,2
2020-05-27 02:26:52,9,1
2020-05-27 02:28:58,7,0
2020-05-27 02:28:58,46,2
2020-05-27 02:28:58,14,1
2020-05-27 02:31:05,8,0
2020-05-27 02:31:05,49,2
2020-05-27 02:31:05,14,1
2020-05-27 02:33:05,17,0
2020-05-27 02:33:05,35,2
2020-05-27 02:33:05,8,1
2020-05-27 02:35:11,6,0
2020-05-27 02:35:11,32,2
2020-05-27 02:35:11,8,1
2020-05-27 02:37:11,18,0
2020-05-27 02:37:11,40,2
2020-05-27 02:37:11,15,1
2020-05-27 02:39:12,9,0
2020-05-27 02:39:12,32,2
2020-05-27 02:39:12,11,1
2020-05-27 02:41:12,11,0
2020-05-27 02:41:12,44,2
2020-05-27 02:41:12,7,1
2020-05-27 02:43:16,13,0
2020-05-27 02:43:16,41,2
2020-05-27 02:43:16,6,1
2020-05-27 02:45:27,5,0
2020-05-27 02:45:27,34,2
2020-05-27 02:45:27,12,1
2020-05-27 02:47:27,11,0
2020-05-27 02:47:27,35,2
2020-05-27 02:47:27,9,1
2020-05-27 02:49:28,7,0
2020-05-27 02:49:28,35,2
2020-05-27 02:49:28,7,1
2020-05-27 02:51:29,12,0
2020-05-27 02:51:29,36,2
2020-05-27 02:51:29,11,1
2020-05-27 02:53:31,10,0
2020-05-27 02:53:31,38,2
2020-05-27 02:53:31,9,1
2020-05-27 02:55:33,5,0
2020-05-27 02:55:33,37,2
2020-05-27 02:55:33,9,1
2020-05-27 02:57:34,6,0
2020-05-27 02:57:34,37,2
2020-05-27 02:57:34,8,1
2020-05-27 02:59:38,6,0
2020-05-27 02:59:38,40,2
2020-05-27 02:59:38,10,1
2020-05-27 03:01:40,9,0
2020-05-27 03:01:40,62,2
2020-05-27 03:01:40,10,1
2020-05-27 03:03:43,10,0
2020-05-27 03:03:43,63,2
2020-05-27 03:03:43,12,1
2020-05-27 03:05:43,9,0
2020-05-27 03:05:43,61,2
2020-05-27 03:05:43,5,1
2020-05-27 03:07:44,15,0
2020-05-27 03:07:44,62,2
2020-05-27 03:07:44,16,1
2020-05-27 03:09:49,12,0
2020-05-27 03:09:49,42,2
2020-05-27 03:09:49,4,1
2020-05-27 03:11:51,12,0
2020-05-27 03:11:51,48,2
2020-05-27 03:11:51,12,1
2020-05-27 03:13:52,10,0
2020-05-27 03:13:52,40,2
2020-05-27 03:13:52,16,1
2020-05-27 03:15:53,14,0
