Time,imageURL,User,Text,neg,pos,neu,dAttitude,dActivity
2020-05-27 03:42:53,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@Brandonwait9 Our live coverage begins at 12:15pm ET and liftoff is targeted for 4:33pm ET 🚀https://t.co/F7V0x7AEAN,10,47,11,-27.03,-36.76
2020-05-27 03:44:56,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@Tomallott2 Launch is targeted for 4:33pm ET. Don’t miss our joint, live coverage with SpaceX from launch to arrive at the space station https://t.co/F7V0x7AEAN",10,56,9,-34.78,-26.67
2020-05-27 03:59:59,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@GankPwnt Yes! You can watch our launch broadcast here on Twitter. 🚀

Set a reminder to watch https://t.co/Fuz18dts5A",16,31,11,106.67,-15.52
2020-05-27 05:35:05,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"Our #LaunchAmerica LIVE coverage includes liftoff of @SpaceX’s Crew Dragon spacecraft, a @KellyClarkson performance, live video from space while @AstroBehnken &amp; @Astro_Doug fly to the @Space_Station and much more.

Full schedule: https://t.co/n3m0Tx4yeD https://t.co/xbSN9unevE",6,45,6,-10.26,10.53
2020-05-27 07:00:05,http://pbs.twimg.com/profile_images/1189945624583720960/k6MtoeIt_normal.jpg,Space_Station,Today's the day! @Astro_Doug &amp; @AstroBehnken lift off at 4:33 p.m. ET for #LaunchAmerica. We don't want you to miss a thing 😎 Use our weekly watch guide for quick reference of all our live coverage &amp; post-launch events.  For updates &amp; to stream live visit https://t.co/cBNqC5JGaz https://t.co/z5eMm5hbfp,10,54,17,23.0,47.0
2020-05-27 07:41:05,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@esa @SpaceX @Astro_Doug @AstroBehnken From the other side of the pond, thank you! 👍",17,80,22,52.38,34.45
2020-05-27 07:54:26,http://pbs.twimg.com/profile_images/1113501416558141440/csp6nhvI_normal.png,NASAKennedy,"Join us live for our final day of #NASASocial coverage for #LaunchAmerica. We’ll be streaming on YouTube, where you can ask questions live: https://t.co/q7l1pcIgaT

Live coverage for the mission to @Space_Station begins at 12:15 p.m. ET and liftoff is at 4:33 p.m. ET. https://t.co/RP6rwMgL5y",13,85,12,79.17,67.27
2020-05-27 08:52:58,http://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_normal.jpg,SpaceX,Targeting 4:33 p.m. EDT today for Falcon 9’s launch of Crew Dragon with @NASA astronauts on board. Teams are closely monitoring launch and downrange weather → https://t.co/bJFjLCilmc https://t.co/XyyT9YgESB,18,147,19,-24.81,0.54
2020-05-27 08:57:05,http://pbs.twimg.com/profile_images/1113501416558141440/csp6nhvI_normal.png,NASAKennedy,"The sun has risen on the dawn of a new era in human spaceflight.

At 4:33 p.m. ET @AstroBehnken &amp; @Astro_Doug will liftoff atop a @SpaceX rocket on their way to the @Space_Station. This will be the first time humans have launched from U.S. soil since 2011: https://t.co/p6zJ3XlwdR https://t.co/UJhfftslal",31,176,26,-24.83,-25.75
2020-05-27 10:00:12,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"Meet our special guest host for today's #LaunchAmerica broadcast: @Astro_Flow, who has traveled on two space shuttle missions and spent more than 565 hours in space.

Tune in starting at 12:15pm ET: https://t.co/mzKW5uV4hS https://t.co/sxfZWuLgxd",22,116,30,39.36,63.69
2020-05-27 10:36:21,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@graemeknows Same energy! https://t.co/F3hveBzFYH,38,228,42,17.37,97.73
2020-05-27 10:47:14,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"Welcome to Launch Day 🚀

Live #LaunchAmerica coverage starts at 12:15pm ET. Liftoff is at 4:33pm ET. 

Let’s light this candle!
 https://t.co/Fuz18dts5A",50,195,36,46.9,42.7
